gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass
LOC118262202								5.6384015	3.2979093		1.7107443		3.3126724	
LOC118262203								4.639406	4.7284036		5.376813		6.1873484	
LOC118262204								3.7310276	3.1221828		1.3555751		2.0894434	
LOC118262205								1.3461728	2.270108		0.93253595		1.7782228	
LOC118262207								0.08709406	0.16669776		0.2664603		0.39748994	
LOC118262208								3.3691509	1.5899527		1.8942124		2.1748397	
LOC118262209								0.0	0.0		0.0		0.0	
LOC118262210								0.0	0.0		0.0		0.0068105785	
LOC118262216								6.914877	5.1562214		7.3150144		7.641248	
LOC118262217								0.039813656	0.011567832		0.0		0.0023523516	
LOC118262219								0.04107172	0.0		0.0		0.0	
LOC118262220								3.2917428	1.9816068		0.18759522		2.4492717	
LOC118262221								5.8839273	0.0		0.0		0.20009188	
LOC118262223								0.34614918	0.14218326		0.13054794		0.13263668	
LOC118262228								6.3129225	0.6742781		0.021276195		0.0	
LOC118262230								0.0	0.28914633		0.0		0.01127333	
LOC118262232								3.958314	2.9613512		3.652834		3.7075465	
LOC118262233								6.1476173	3.3336446		2.7674184		2.701898	
LOC118262236								9.379028	2.5998895		0.0		0.06656093	
LOC118262238								2.2354717	1.8008969		1.8410385		1.8584564	
LOC118262239								0.0	0.0		0.0		1.9756528	
LOC118262240								0.40485206	8.625378		0.63123655		0.20258495	
LOC118262242								5.430774	2.0799494		0.7018479		4.928338	
LOC118262244								0.9497095	0.0		0.04439045		0.2220145	
LOC118262245								0.48766905	0.16782743		0.0		0.055072214	
LOC118262247								0.5269544	6.0024614		0.045355234		0.10554122	
LOC118262248								0.02023751	0.0		0.0		0.1769366	
LOC118262249								4.1490874	4.101153		1.23074		4.2938256	
LOC118262250								0.0	0.0		0.0		0.00844897	
LOC118262252								3.7785933	6.193387		0.8660928		3.010677	
LOC118262253								6.320088	3.8733866		3.9006782		4.9686637	
LOC118262256								0.6759917	0.20992094		0.30227786		1.4145908	
LOC118262257								6.919675	7.1112113		8.795037		9.152435	
LOC118262259								5.8670044	7.109999		2.9608886		4.5947328	
LOC118262260								7.3220315	7.6248527		7.940032		7.73149	
LOC118262262								6.5142617	2.8083234		1.094943		2.129092	
LOC118262263								4.5009403	2.3252113		1.5876307		3.498052	
LOC118262264								4.814334	3.9687219		3.4265718		3.8036885	
LOC118262265								3.9501312	0.94595635		0.4271737		1.221661	
LOC118262267								4.153075	4.502671		0.9352021		2.2850764	
LOC118262268								4.753893	3.9893057		1.923836		3.917144	
LOC118262269								0.35801437	5.725555		0.42740583		6.039737	
LOC118262270								0.795949	4.8876		1.5150512		4.892228	
LOC118262272								2.0035684	1.4154476		0.71610814		1.6752863	
LOC118262273								1.4859622	6.856083		0.14782925		0.078471065	
LOC118262274								7.1389837	4.534772		3.5797632		4.5301776	
LOC118262275								6.743484	4.0556154		1.982017		2.944304	
LOC118262276								2.5562875	1.0730077		0.0		0.7749499	
LOC118262277								3.7156074	1.6287352		1.4066306		1.9224079	
LOC118262278								1.8466123	2.3589451		0.22884277		1.0838958	
LOC118262279								2.6172516	0.26869875		0.080604		0.16820017	
LOC118262280								3.1361759	0.5208777		0.77984256		1.9191251	
LOC118262281								5.220165	0.1849112		0.0		0.025779974	
LOC118262283								11.389031	0.0		0.0		0.035185713	
LOC118262284								11.488679	0.0		0.0		0.04244007	
LOC118262285								7.2317953	1.845888		2.3521285		5.903682	
LOC118262286								11.530929	0.0		0.089712806		0.047907207	
LOC118262287								6.715729	6.5355005		5.729423		6.7829266	
LOC118262288								5.4462714	4.636865		2.4139874		4.406703	
LOC118262289								5.9483137	3.0569		2.4072182		2.847199	
LOC118262290								7.0278254	6.353795		0.71136427		2.3989773	
LOC118262291								1.4338602	2.225046		1.0611767		2.0729287	
LOC118262292								3.287525	2.027572		1.54982		2.3246186	
LOC118262293								5.224196	3.511982		1.4542589		3.246703	
LOC118262295								4.299082	3.731375		2.2905614		3.8317978	
LOC118262296								5.476348	4.5168285		2.6953895		4.3681517	
LOC118262297								7.5454264	7.8274007		5.229345		5.6196084	
LOC118262298								3.091108	2.8380718		1.6794716		3.5754247	
LOC118262299								5.7536383	5.3488073		6.6163664		7.244723	
LOC118262300								11.838222	10.321734		11.36378		10.905821	
LOC118262301								0.0	0.042943485		0.0		0.038290918	
LOC118262302								2.5811396	3.720377		0.22086863		0.9695569	
LOC118262303								3.57745	6.070881		0.7540693		1.8346153	
LOC118262304								3.9599187	3.5534065		3.1310983		3.5732255	
LOC118262305								0.52442706	4.6898227		3.2544634		6.686514	
LOC118262309								6.477467	5.9459143		3.0509992		3.1560836	
LOC118262310								2.26376	4.193142		1.4425632		4.057339	
LOC118262311								2.1052644	7.335948		0.4179402		1.4033495	
LOC118262312								4.425896	3.4601684		1.8741174		2.6326325	
LOC118262313								0.41174516	0.5532344		0.23776664		0.912723	
LOC118262314								7.8668547	4.956679		3.462422		4.3487325	
LOC118262315								3.3426423	3.2241647		2.8805275		5.665869	
LOC118262316								4.847533	2.361821		0.68057513		1.4790761	
LOC118262317								4.2515883	4.479777		0.5386327		3.6113713	
LOC118262318								1.297834	1.8700572		2.2120755		2.0261712	
